sampleName,combinationName,density,strain,strainName,strainProp
7C1-10k,7C1,10000,"SS1,SS2,SS3,SS4,SS5,SS6,SS7","FCR3,V1S,W2,U659,D10,D6,HB3","70,5,5,5,5,5,5"
7C1-1k,7C1,1000,"SS1,SS2,SS3,SS4,SS5,SS6,SS7","FCR3,V1S,W2,U659,D10,D6,HB3","70,5,5,5,5,5,6"
7C1-100,7C1,100,"SS1,SS2,SS3,SS4,SS5,SS6,SS7","FCR3,V1S,W2,U659,D10,D6,HB3","70,5,5,5,5,5,7"
7C1-10,7C1,10,"SS1,SS2,SS3,SS4,SS5,SS6,SS7","FCR3,V1S,W2,U659,D10,D6,HB3","70,5,5,5,5,5,8"
DC3-10k,DC3,10000,"SS1,SS3","FCR3,W2","5,95"
DC3-1k,DC3,1000,"SS1,SS3","FCR3,W2","5,95"
DC3-100,DC3,100,"SS1,SS3","FCR3,W2","5,95"
DC3-10,DC3,10,"SS1,SS3","FCR3,W2","5,95"
DC4-10k,DC4,10000,"SS1,SS3","FCR3,W2","10,90"
DC4-1k,DC4,1000,"SS1,SS3","FCR3,W2","10,90"
DC4-100,DC4,100,"SS1,SS3","FCR3,W2","10,90"
DC4-10,DC4,10,"SS1,SS3","FCR3,W2","10,90"
DC5-10k,DC5,10000,"SS1,SS3","FCR3,W2","40,60"
DC5-1k,DC5,1000,"SS1,SS3","FCR3,W2","40,60"
DC5-100,DC5,100,"SS1,SS3","FCR3,W2","40,60"
DC5-10,DC5,10,"SS1,SS3","FCR3,W2","40,60"
QC1-10k,QC1,10000,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","50,20,15,10,5"
QC1-1k,QC1,1000,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","50,20,15,10,5"
QC1-100,QC1,100,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","50,20,15,10,5"
QC1-10,QC1,10,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","50,20,15,10,5"
QC2-10k,QC2,10000,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","20,15,10,5,50"
QC2-1k,QC2,1000,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","20,15,10,5,50"
QC2-100,QC2,100,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","20,15,10,5,50"
QC2-10,QC2,10,"SS2,SS1,SS3,SS4,SS6","V1S,FCR3,W2,U659,D6","20,15,10,5,50"
SS1-10k,SS1,10000,SS1,FCR3,1
SS2-10k,SS2,10000,SS2,V1S,1
SS3-10k,SS3,10000,SS3,W2,1
SS4-10k,SS4,10000,SS4,U659,1
SS5-10k,SS5,10000,SS5,D10,1
SS6-10k,SS6,10000,SS6,D6,1
SS7-10k,SS7,10000,SS7,HB3,1
TC1-10k,TC1,10000,"SS1,SS3,SS7","FCR3,W2,HB3","60,30,10"
TC1-1k,TC1,1000,"SS1,SS3,SS7","FCR3,W2,HB3","60,30,10"
TC1-100,TC1,100,"SS1,SS3,SS7","FCR3,W2,HB3","60,30,10"
TC1-10,TC1,10,"SS1,SS3,SS7","FCR3,W2,HB3","60,30,10"
TC2-10k,TC2,10000,"SS1,SS3,SS7","FCR3,W2,HB3","80,5,15"
TC2-1k,TC2,1000,"SS1,SS3,SS7","FCR3,W2,HB3","80,5,15"
TC2-100,TC2,100,"SS1,SS3,SS7","FCR3,W2,HB3","80,5,15"
TC2-10,TC2,10,"SS1,SS3,SS7","FCR3,W2,HB3","80,5,15"
TC5-10k,TC5,10000,"SS1,SS3,SS7","FCR3,W2,HB3","30,10,60"
TC5-1k,TC5,1000,"SS1,SS3,SS7","FCR3,W2,HB3","30,10,60"
TC5-100,TC5,100,"SS1,SS3,SS7","FCR3,W2,HB3","30,10,60"
TC5-10,TC5,10,"SS1,SS3,SS7","FCR3,W2,HB3","30,10,60"